data_index,cluster,probability,outlier_score
706,-1,0.0,0.08994297980850803
707,-1,0.0,0.035096918783799856
708,-1,0.0,0.007001492660933052
709,-1,0.0,0.010758034981572642
710,-1,0.0,0.05058652426334191
711,-1,0.0,0.003630235162123967
712,-1,0.0,0.04610029433337844
713,-1,0.0,0.009396767787141292
714,-1,0.0,0.14464619694024847
715,-1,0.0,0.025598915008347736
716,-1,0.0,0.0323594162308312
717,-1,0.0,0.17659038168663055
718,-1,0.0,0.012632298688993756
719,-1,0.0,0.02154268356426304
720,-1,0.0,0.003008093340177347
721,-1,0.0,0.000381017436960978
722,-1,0.0,0.007440331442740403
723,-1,0.0,0.0008867629240094232
724,24,0.9578186204455467,0.042181379554453356
725,-1,0.0,0.01822963769689769
726,-1,0.0,0.0029847406813881447
727,-1,0.0,0.011009306335673198
728,-1,0.0,0.0045930949277542595
729,-1,0.0,0.0030767933349374133
730,-1,0.0,0.04309807952880818
731,-1,0.0,0.00039230637754303447
732,-1,0.0,0.011658649006919687
733,-1,0.0,0.019381186686519263
734,-1,0.0,0.09165785250157495
735,-1,0.0,0.03432675677430355
736,-1,0.0,0.0008716378805812039
737,-1,0.0,0.01932457835581573
738,-1,0.0,0.08936496006300104
739,-1,0.0,0.025224424064618733
740,-1,0.0,0.008599940543542866
741,-1,0.0,0.008808528639761632
742,-1,0.0,0.010899661627179947
743,-1,0.0,0.001536630811846918
744,-1,0.0,0.013566356746360633
745,0,1.0,0.0
746,-1,0.0,0.0886529106609537
747,-1,0.0,0.001087999620006349
748,-1,0.0,0.06580984062152587
749,-1,0.0,0.04499681753840084
750,-1,0.0,0.010960226490531645
751,-1,0.0,0.007578383188366411
752,-1,0.0,0.0011600834465838102
753,-1,0.0,0.00848686885039539
754,-1,0.0,0.001304404811398018
755,-1,0.0,0.00914212581508145
756,-1,0.0,0.0393283540800921
757,-1,0.0,0.020208259654810053
758,-1,0.0,0.008534246029812497
759,-1,0.0,0.0
760,-1,0.0,0.01226676124688942
761,-1,0.0,0.011724014712429695
762,-1,0.0,0.007441037249775645
763,-1,0.0,0.0017837174540223455
764,-1,0.0,0.029156905150901302
765,-1,0.0,0.013159659012347334
766,-1,0.0,0.011387300816099195
767,-1,0.0,0.030305973520171992
768,-1,0.0,0.027800308876542675
769,-1,0.0,0.001213192241175559
770,-1,0.0,0.05495872258488841
